industry,tag_name,raw_count,sdt_count,kept_pct,drop_pct
automotive,conveyor_speed,213,121,56.8075117370892,43.1924882629108
automotive,cycle_time,201,158,78.60696517412936,21.393034825870643
automotive,die_temp,216,169,78.24074074074075,21.759259259259252
automotive,seam_quality_idx,209,144,68.89952153110048,31.100478468899524
automotive,servo_temp,202,152,75.24752475247524,24.752475247524757
automotive,spindle_vibration,202,55,27.22772277227723,72.77227722772277
automotive,stroke_force,211,177,83.88625592417061,16.113744075829388
automotive,torch_current,209,163,77.99043062200957,22.00956937799043
energy,cell_temp_max,198,147,74.24242424242425,25.75757575757575
energy,cell_voltage_min,203,169,83.2512315270936,16.748768472906406
energy,gearbox_vibration,416,142,34.13461538461539,65.86538461538461
energy,hydrogen_ppm,193,29,15.025906735751295,84.97409326424871
energy,load_factor,220,165,75.0,25.0
energy,nacelle_temp,431,265,61.48491879350348,38.51508120649652
energy,oil_temp,225,183,81.33333333333333,18.66666666666667
energy,output_power,436,57,13.073394495412844,86.92660550458716
energy,rotor_speed,402,328,81.59203980099502,18.407960199004975
energy,soc,215,184,85.5813953488372,14.418604651162795
mining,belt_tension,209,118,56.45933014354066,43.54066985645934
mining,coolant_temp,632,462,73.10126582278481,26.89873417721519
mining,engine_egt,616,467,75.81168831168831,24.188311688311686
mining,fuel_rate,619,460,74.31340872374797,25.68659127625203
mining,motor_current,204,150,73.52941176470588,26.470588235294116
mining,oil_temp,611,456,74.63175122749591,25.36824877250409
mining,payload_weight,621,487,78.4219001610306,21.578099838969393
mining,roller_vibration,211,70,33.175355450236964,66.82464454976304
mining,throughput_rate,217,166,76.49769585253456,23.502304147465438
mining,tyre_pressure_fl,623,494,79.29373996789727,20.706260032102733
mining,tyre_pressure_fr,619,470,75.92891760904685,24.07108239095315
mining,vibration_rms,632,203,32.120253164556964,67.87974683544303
semiconductor,chamber_pressure,211,207,98.10426540284361,1.895734597156391
semiconductor,focus_drift_nm,216,69,31.944444444444443,68.05555555555556
semiconductor,laser_power,211,150,71.09004739336493,28.909952606635073
semiconductor,lens_temp,216,150,69.44444444444444,30.555555555555557
semiconductor,overlay_error_nm,205,205,100.0,0.0
semiconductor,pad_wear_index,201,130,64.6766169154229,35.3233830845771
semiconductor,particle_count,203,180,88.66995073891626,11.330049261083744
semiconductor,rf_power,192,120,62.5,37.5
water,acoustic_index,211,1,0.47393364928909953,99.5260663507109
water,airflow_rate,198,92,46.464646464646464,53.535353535353536
water,chlorine_ppm,215,111,51.627906976744185,48.372093023255815
water,discharge_pressure,215,176,81.86046511627907,18.139534883720927
water,flow_rate,210,1,0.4761904761904762,99.52380952380952
water,motor_current,202,89,44.05940594059406,55.94059405940594
water,suction_pressure,215,183,85.11627906976744,14.883720930232556
water,vibration_rms,216,74,34.25925925925926,65.74074074074073
